id,an,materie,liceu,judet,medie,procent_reusita,numar_candidati,preferinta_materie,anomalie
56,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEHNOLOGIC ""DOMOKOS KAZMER"" SOVATA",Mureș,9.18,100.0,16,14.3,0
57,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""VASILE ALECSANDRI"", LOCALITATEA GALATI",Galați,9.17,100.0,25,10.0,0
58,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""ION C. BRATIANU"" PITESTI",Argeș,9.15,100.0,68,26.4,0
59,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",LICEUL TEORETIC BUZIAS,Timiș,9.15,100.0,1,2.0,1
60,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",LICEUL TEHNOLOGIC SEBES,Alba,9.15,100.0,1,0.7,1
61,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""GARABET IBRAILEANU"", IASI",Iași,9.14,97.9,48,28.7,0
62,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""DR. IOAN MESOTA"" BRASOV",Brașov,9.14,100.0,28,18.2,0
63,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""CAROL I"" CRAIOVA",Dolj,9.13,99.3,142,45.2,0
64,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""STEFAN CEL MARE"", ORAS TARGU NEAMT",Neamț,9.13,99.1,110,45.6,0
65,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""MIHAI EMINESCU"", IASI",Iași,9.12,100.0,52,28.9,0
66,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""B. P. HASDEU"" MUNICIPIUL BUZAU",Buzău,9.12,100.0,15,4.8,0
67,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""TAMASI ARON"" ODORHEIU SECUIESC",Harghita,9.12,100.0,24,16.8,0
68,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI",Vaslui,9.12,100.0,35,28.2,0
69,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""DECEBAL"" DEVA",Hunedoara,9.11,100.0,55,33.7,0
70,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""AL. I. CUZA"" FOCSANI",Vrancea,9.11,94.4,18,10.5,0
71,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""DRAGOS VODA"" CAMPULUNG MOLDOVENESC",Suceava,9.11,100.0,63,34.4,0
72,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",LICEUL TEHNOLOGIC BALTENI,Gorj,9.1,95.7,23,27.4,0
73,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""UNIREA"" FOCSANI",Vrancea,9.1,100.0,27,12.6,0
74,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""CANTEMIR VODA""",București,9.1,100.0,3,1.8,0
75,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""ALEXANDRU PAPIU ILARIAN"" TIRGU MURES",Mureș,9.09,100.0,58,30.1,0
76,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""ELENA CUZA"" CRAIOVA",Dolj,9.07,100.0,75,27.9,0
77,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""MIHAI EMINESCU"" PETROSANI",Hunedoara,9.07,100.0,59,38.8,0
78,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",LICEUL TEHNOLOGIC NR.1 POPESTI,Bihor,9.07,100.0,23,27.1,0
79,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""PETRU RARES"" SUCEAVA",Suceava,9.06,100.0,62,23.7,0
80,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL ""MIHAI VITEAZUL"" INEU",Arad,9.05,100.0,45,23.9,0
81,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""GHEORGHE VRANCEANU"" BACAU",Bacău,9.05,100.0,53,21.7,0
82,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",LICEUL TEHNOLOGIC TICLENI,Gorj,9.04,100.0,12,12.6,1
83,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""PETRU RARES"", MUNICIPIUL PIATRA-NEAMT",Neamț,9.03,100.0,34,19.2,0
84,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""GRIGORE MOISIL"" TULCEA",Tulcea,9.03,100.0,60,34.5,0
85,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""TRAIAN VUIA"" FAGET",Timiș,9.02,90.0,10,5.9,0
86,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""GHEORGHE SINCAI"" BAIA MARE",Maramureș,9.01,100.0,99,49.3,0
87,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""MIHAI VITEAZUL"" TURDA",Cluj,9.0,100.0,49,43.8,0
88,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""MIHAI EMINESCU"" BOTOSANI",Botoșani,9.0,100.0,71,31.8,0
89,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMISOARA",Timiș,9.0,100.0,14,22.2,0
90,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""FILADELFIA"" SUCEAVA",Suceava,9.0,100.0,11,14.7,0
91,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL GRECO-CATOLIC ""IULIU MANIU"" ORADEA",Bihor,9.0,100.0,11,35.5,0
92,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""ELENA GHIBA BIRTA"" ARAD",Arad,8.99,100.0,43,30.1,0
93,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""CONSTANTIN DIACONOVICI LOGA"" TIMISOARA",Timiș,8.98,100.0,47,22.2,0
94,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",LICEUL BORSA,Maramureș,8.97,100.0,4,1.3,0
95,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""GRIGORE MOISIL""",București,8.96,100.0,7,4.7,0
96,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""SPIRU HARET"" TG-JIU",Gorj,8.96,100.0,55,22.3,0
97,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""MIRON COSTIN"", IASI",Iași,8.95,96.8,31,23.3,0
98,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""GHEORGHE SINCAI""",București,8.95,100.0,9,3.7,0
99,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""VASILE LUCACIU"" BAIA MARE",Maramureș,8.94,98.8,82,41.2,0
100,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""MIHAI EMINESCU"" ORADEA",Bihor,8.94,100.0,73,23.7,0
101,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""JOHANNES HONTERUS"" BRASOV",Brașov,8.94,100.0,13,13.0,0
102,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""SFANTUL SAVA""",București,8.94,100.0,21,8.5,0
103,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""EMANUIL GOJDU"" ORADEA",Bihor,8.93,98.7,77,40.1,0
104,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL DE INFORMATICA MATEI BASARAB, MUN. RM. VALCEA",Vâlcea,8.92,100.0,34,17.6,0
105,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""CONSTANTIN NOICA"" SIBIU",Sibiu,8.91,100.0,7,6.9,0
106,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEOLOGIC ROMANO-CATOLIC ""SEGITO MARIA"" MIERCUREA CIUC",Harghita,8.91,100.0,13,14.4,0
107,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""LIVIU REBREANU"" TURDA",Cluj,8.9,100.0,17,20.7,0
108,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL ""ANDREI MURESANU"" BRASOV",Brașov,8.9,100.0,23,19.3,0
109,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""MIHAIL SADOVEANU"", PASCANI",Iași,8.89,100.0,60,28.8,0
110,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""ION CANTACUZINO"" PITESTI",Argeș,8.89,100.0,8,6.3,0
111,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""CALISTRAT HOGAS"", MUNICIPIUL PIATRA-NEAMT",Neamț,8.88,100.0,61,31.8,0
112,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""GEORGE BARITIU"" CLUJ-NAPOCA",Cluj,8.88,100.0,4,3.3,0
113,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""GRIGORE MOISIL"" TIMISOARA",Timiș,8.88,100.0,28,20.6,0
114,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",LICEUL TEORETIC TEIUS,Alba,8.85,100.0,1,2.7,0
115,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""JEAN MONNET""",București,8.85,100.0,9,7.9,0
116,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""ION CREANGA""",București,8.84,100.0,42,19.8,0
117,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""AUREL LAZAR"" ORADEA",Bihor,8.84,100.0,40,35.1,0
118,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""MOISE NICOARA"" ARAD",Arad,8.83,100.0,50,33.3,0
119,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""EMIL RACOVITA"", LOCALITATEA GALATI",Galați,8.83,100.0,103,57.9,0
120,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""NICOLAE IORGA""",Brăila,8.82,100.0,5,3.8,0
121,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""NICOLAE IORGA""",Brăila,8.82,100.0,5,3.8,0
122,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""GEORGE COSBUC"" MOTRU",Gorj,8.82,100.0,2,1.0,0
123,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""NICOLAE GRIGORESCU"", MUNICIPIUL CAMPINA",Prahova,8.82,100.0,6,3.7,0
124,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""VASILE ALECSANDRI"" BACAU",Bacău,8.81,100.0,24,9.6,0
125,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""MIRCEA CEL BATRAN"" CONSTANTA",Constanța,8.81,100.0,76,33.5,0
126,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""OVIDIUS"" CONSTANTA",Constanța,8.8,100.0,80,39.2,0
127,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEOLOGIC ROMANO-CATOLIC ""HAM JANOS"" SATU MARE",Satu-Mare,8.8,100.0,13,26.5,0
128,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""IOSIF VULCAN"" ORADEA",Bihor,8.8,96.7,30,23.1,0
129,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",LICEUL TEORETIC COSTESTI,Argeș,8.8,100.0,1,0.8,0
130,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""SPIRU HARET"" MOINESTI",Bacău,8.79,100.0,41,19.6,0
131,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL PEDAGOGIC ""REGINA MARIA"", MUNICIPIUL PLOIESTI",Prahova,8.79,100.0,20,13.2,0
132,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""TUDOR VLADIMIRESCU""",București,8.78,100.0,5,2.6,0
