SampleID,departure_time,distance_km,avg_speed_kmh,num_stops,weather,weekday,special_events,num_cars,ticket_price,comfort_class,delay_minutes
1532,12:16,398.64,92.99,2,sunny,Sat,0,10,162.27885845832577,intermediate,2
2834,18:20,143.26,109.56,4,rain,Wed,0,4,90.02548848528235,standard,0
4444,19:35,326.66,91.08,4,sunny,Thu,0,9,79.3009772066016,intermediate,7
4915,15:01,728.32,69.67,9,sunny,Sat,0,7,126.45114395573552,standard,23
1598,07:13,378.53,90.43,4,fog,Fri,0,8,108.46086159847187,premium,9
1779,19:11,78.37,84.7,7,sunny,Wed,0,5,60.701806567857574,standard,15
4900,06:11,496.19,114.25,7,snow,Mon,0,8,77.02739672712438,standard,33
2574,05:32,457.13,72.87,9,snow,Mon,0,5,88.22503531580733,premium,40
3398,09:41,438.1,55.78,6,sunny,Thu,0,4,55.52235136210257,intermediate,13
3975,03:42,723.13,54.22,4,snow,Thu,0,3,178.30883449030685,intermediate,28
3770,07:22,438.05,69.07,3,sunny,Wed,0,5,103.86418929564958,premium,15
166,11:24,272.91,93.38,1,sunny,Sat,0,3,87.86908874916477,standard,1
1751,13:56,236.71,54.28,6,rain,Wed,0,9,162.40255703444296,intermediate,28
1479,05:30,457.16,104.54,8,rain,Thu,0,7,69.09781865780523,intermediate,15
1024,00:02,337.29,47.64,9,sunny,Sun,0,12,39.53990236153912,intermediate,18
1788,11:25,65.68,87.73,1,fog,Fri,1,12,163.85238779617572,premium,6
2264,16:40,685.47,116.55,8,rain,Sun,0,11,154.40273941731235,premium,16
2473,21:14,189.37,96.98,2,sunny,Fri,0,5,141.64920763780844,standard,1
1822,11:52,398.52,51.97,5,sunny,Mon,0,7,164.11842357052075,intermediate,12
1220,16:46,729.19,44.24,6,rain,Tue,0,13,154.80716057856444,premium,43
1666,04:42,283.78,53.83,6,sunny,Fri,0,11,181.72005409843453,standard,17
2960,11:16,536.52,107.42,7,snow,Thu,0,7,164.67838099353287,intermediate,21
152,06:27,677.33,95.48,4,fog,Sat,0,11,168.16830105309248,intermediate,24
2534,19:42,559.66,71.97,4,rain,Fri,0,9,93.75417614000543,standard,25
4688,13:31,137.14,83.97,2,sunny,Wed,0,12,132.95695132014103,intermediate,7
1978,20:58,128.36,43.46,6,sunny,Wed,0,5,141.4684236477332,intermediate,12
1469,15:26,132.02,104.35,4,sunny,Tue,0,13,61.63401315403945,standard,8
2807,02:28,343.59,42.78,2,sunny,Fri,0,5,183.2466466407032,intermediate,0
2512,13:13,640.51,64.22,8,sunny,Sun,0,4,94.20629499562466,intermediate,17
2943,20:25,467.61,101.54,5,sunny,Tue,1,9,124.67658066859349,standard,26
2980,05:35,444.02,47.16,4,rain,Wed,1,10,120.3008172135994,standard,39
4822,13:28,268.68,69.25,1,fog,Sun,0,4,96.81030642824553,intermediate,3
3017,23:10,601.79,81.92,5,sunny,Thu,0,3,188.0284106064102,standard,10
1566,12:21,598.01,101.21,7,snow,Mon,0,9,76.52671165150981,intermediate,33
31,15:38,451.77,92.37,4,rain,Tue,0,9,120.83252531003271,intermediate,12
937,07:00,576.97,80.88,4,snow,Thu,0,4,184.62479011327792,standard,25
1215,19:28,509.88,101.74,6,snow,Fri,0,3,72.74572932661344,intermediate,31
1937,22:33,162.73,67.39,0,sunny,Sat,0,12,36.53307193596894,intermediate,1
1129,11:47,627.48,74.36,2,sunny,Mon,0,6,137.2592416847282,intermediate,11
309,15:31,78.17,106.72,8,sunny,Sun,0,3,187.49468012749998,standard,0
4901,13:01,293.62,59.05,4,sunny,Wed,0,6,111.58413557717124,standard,7
2168,03:02,323.61,116.71,3,snow,Fri,0,12,108.04924518352885,intermediate,14
3113,08:07,632.46,96.39,6,snow,Thu,0,3,96.01140880387338,intermediate,28
495,12:49,684.0,70.05,3,fog,Thu,1,7,37.286626138649225,standard,32
205,16:13,141.03,96.21,5,rain,Sat,1,9,126.95048414343616,standard,18
2673,02:29,439.2,90.52,6,sunny,Wed,0,5,57.63523871799952,standard,0
3357,11:45,707.24,64.37,6,sunny,Thu,0,3,40.12359532768249,standard,26
3830,23:34,779.67,98.39,0,rain,Thu,0,11,37.067199529170445,premium,12
305,03:49,763.06,75.41,0,sunny,Tue,0,3,82.02670584197013,premium,4
3793,08:09,767.83,87.21,0,snow,Tue,0,6,158.20809703677864,standard,22
2201,13:00,123.21,102.71,4,snow,Fri,1,14,62.138405083949536,intermediate,36
1061,13:40,374.58,44.14,0,sunny,Sat,0,5,76.25695394005919,standard,6
843,15:36,449.27,103.14,1,rain,Wed,0,14,99.13662508216986,premium,9
3872,13:09,589.18,103.26,0,rain,Sat,0,6,60.110290857239676,intermediate,9
2251,03:04,102.23,53.8,9,sunny,Tue,0,9,82.97232824434799,standard,16
211,00:54,465.57,48.85,2,sunny,Sun,0,6,168.64433158794736,standard,14
3997,20:11,125.61,55.42,3,sunny,Fri,0,13,62.98671386237227,premium,4
679,14:15,478.41,50.55,5,rain,Thu,0,4,182.32619117880776,premium,9
565,02:56,403.03,73.14,9,snow,Sat,0,14,32.48701758910406,intermediate,40
3290,13:41,312.4,71.61,3,rain,Wed,0,8,64.0034476815973,standard,17
4354,03:43,420.13,92.49,3,sunny,Sat,0,7,198.67487165254224,standard,17
680,08:49,609.05,79.64,3,sunny,Fri,0,9,199.83486545695067,standard,5
180,07:43,351.89,71.17,9,sunny,Fri,0,14,68.77607851256691,intermediate,22
4279,04:52,733.43,119.16,3,rain,Thu,0,9,86.75521890642685,standard,19
2495,14:12,766.94,77.36,4,sunny,Tue,0,4,87.39444511485412,standard,22
2316,18:57,414.78,64.8,9,rain,Fri,0,8,174.7270921827043,standard,29
4273,21:37,413.03,66.07,7,sunny,Wed,0,13,78.44625838301728,standard,23
278,19:14,283.63,57.12,8,sunny,Wed,0,5,105.49126385749739,intermediate,19
3683,21:44,309.58,113.14,9,snow,Mon,0,8,56.688046483393734,standard,24
4762,12:21,580.07,71.36,7,snow,Thu,0,7,111.37257117659294,standard,24
432,15:05,290.22,71.96,3,sunny,Fri,0,8,82.28341989937704,premium,5
289,05:48,321.33,48.65,4,rain,Sat,0,10,102.91518478409313,intermediate,18
1027,16:42,203.89,104.68,9,sunny,Wed,0,11,94.49195632353114,premium,7
535,06:38,324.71,108.87,8,sunny,Sun,0,3,103.61198092457445,premium,10
3631,16:57,236.97,69.69,2,snow,Fri,0,9,197.38749037028666,premium,27
188,14:09,88.42,70.7,4,sunny,Mon,0,5,47.396440555122666,intermediate,0
2174,12:18,287.51,108.0,8,rain,Mon,0,4,196.51814707337473,intermediate,9
3915,04:06,404.6,101.87,3,sunny,Sun,0,6,87.19186946170855,standard,2
1862,21:54,715.86,79.08,0,rain,Sat,0,7,60.327135798863175,premium,2
270,22:36,342.08,65.44,5,rain,Mon,1,13,22.772988845852954,standard,39
1728,06:16,546.78,69.75,0,sunny,Sun,0,12,60.376785495200366,standard,14
4075,03:09,491.84,64.28,6,rain,Mon,0,13,79.06783150575656,standard,29
2157,15:40,80.24,63.78,0,rain,Sat,0,11,84.13253969509086,premium,10
3931,11:26,340.35,102.71,6,rain,Mon,0,4,137.91339794021397,standard,11
111,06:52,454.75,65.92,6,sunny,Fri,0,6,22.35518277215783,standard,11
2384,07:54,206.97,67.59,8,sunny,Sun,0,10,22.609823208168418,premium,24
220,22:37,121.14,109.94,3,sunny,Fri,0,8,69.97366082031144,intermediate,0
627,18:39,564.28,41.32,3,rain,Sun,1,9,20.830436477285716,standard,33
1181,13:14,438.8,50.44,6,sunny,Mon,0,14,171.528710274298,standard,30
3381,01:47,469.92,45.05,1,sunny,Wed,0,5,67.00222432415418,standard,15
2422,02:34,362.16,100.39,3,rain,Sat,0,14,85.28277261217063,standard,9
790,16:54,89.05,115.27,8,sunny,Thu,0,12,125.30001125045702,premium,14
4275,23:47,705.58,112.03,9,sunny,Mon,0,3,134.84991736975587,standard,12
461,22:15,516.93,84.61,4,sunny,Tue,0,7,177.34439125906317,standard,13
4402,18:48,295.53,96.75,8,sunny,Fri,0,14,57.53366988582661,premium,18
551,02:39,108.88,46.96,9,fog,Wed,0,8,132.58522161498917,intermediate,21
3129,11:09,457.6,91.15,8,rain,Sun,0,7,100.90514183666076,standard,23
1444,00:50,337.65,59.58,5,rain,Mon,0,11,137.42733763556342,intermediate,17
198,01:21,163.56,75.3,9,sunny,Tue,0,4,52.18925099469657,standard,12
2589,20:27,363.6,84.59,3,rain,Tue,0,6,152.7634949874064,standard,11
402,01:25,246.71,82.41,7,snow,Sat,1,4,187.72349635137144,standard,33
3959,08:26,315.43,60.73,3,rain,Thu,0,3,61.02465338952368,standard,5
4189,20:05,781.99,112.65,8,rain,Sat,0,9,73.39626381455997,premium,32
4763,22:53,591.83,91.67,9,sunny,Wed,0,5,142.7922306606492,standard,15
2095,10:00,598.33,66.47,0,sunny,Tue,0,9,141.43027276853763,intermediate,8
2900,14:39,78.65,43.82,3,sunny,Mon,0,12,35.01260029398275,intermediate,8
4462,04:38,233.59,97.81,7,sunny,Fri,0,3,44.18703678099479,intermediate,8
650,17:57,655.78,51.56,6,rain,Sat,0,3,57.87033323910158,standard,27
708,16:02,655.45,48.31,5,sunny,Wed,0,5,187.59299096947902,intermediate,25
1480,07:34,674.67,41.32,1,snow,Thu,0,14,34.922353542330825,intermediate,31
4414,22:49,322.39,44.83,0,rain,Sun,0,8,36.02798476840202,standard,4
3065,07:05,349.28,99.82,6,snow,Fri,0,3,90.00149650223086,premium,18
2395,22:37,631.56,46.21,2,sunny,Sun,0,10,131.63287367338597,intermediate,24
1769,01:47,461.7,63.42,4,sunny,Mon,0,9,20.250712013444424,intermediate,14
314,02:02,608.56,85.27,2,sunny,Tue,0,6,30.996685906759065,premium,0
3761,01:56,571.73,110.37,4,sunny,Sun,0,8,188.01547609289887,intermediate,7
4909,10:20,697.72,43.13,0,rain,Sun,0,4,70.46750119169127,premium,10
113,06:21,63.52,85.06,3,rain,Sun,1,4,140.36526730545026,premium,10
960,10:44,452.46,40.3,9,sunny,Fri,0,4,115.3413413661511,premium,24
2910,14:44,220.57,111.54,1,sunny,Sun,0,7,65.70232490111859,standard,1
3405,02:32,264.05,96.55,3,sunny,Tue,0,7,109.20242202869886,standard,2
1623,09:55,173.54,67.63,6,sunny,Tue,0,7,177.28839982307196,standard,9
3322,23:57,621.31,115.61,5,rain,Wed,0,10,175.65013382142718,standard,25
4999,16:12,577.09,79.16,7,sunny,Fri,0,13,62.85419162333853,standard,19
1818,17:54,701.82,61.66,6,fog,Tue,0,14,67.32672804278836,standard,33
3194,02:08,297.06,49.53,8,sunny,Wed,0,11,126.3406413144991,premium,29
3007,11:06,797.74,45.15,3,sunny,Thu,0,5,60.81326309418443,standard,28
3414,13:55,272.26,68.28,5,sunny,Wed,0,10,176.5764457805261,standard,12
4528,06:13,169.46,104.7,5,snow,Thu,0,3,100.04832045309844,premium,13
1897,22:09,135.32,44.48,8,rain,Fri,0,13,72.0958778056261,intermediate,28
1918,19:20,406.52,62.82,0,fog,Sun,1,7,182.38900106782046,standard,32
1270,01:51,108.5,72.83,9,sunny,Fri,0,11,55.475416367305826,standard,26
4176,22:01,621.99,113.03,1,snow,Thu,0,7,158.98274390972642,intermediate,25
4962,19:12,317.67,91.5,1,sunny,Sat,1,7,99.68815637116441,intermediate,14
4883,14:26,506.57,55.67,0,sunny,Fri,0,7,60.12348489730829,intermediate,12
4094,14:15,178.77,106.17,4,snow,Thu,0,5,42.234308951938445,premium,20
3159,00:10,371.99,47.54,4,sunny,Mon,0,4,148.10668301816366,standard,9
1813,16:38,168.71,64.05,8,rain,Fri,0,4,39.175330917556415,intermediate,23
2426,18:44,694.0,86.1,0,rain,Tue,0,6,94.05448443530533,premium,7
3950,02:55,782.06,79.44,9,sunny,Wed,0,4,35.129041807484406,standard,23
4428,16:56,795.33,68.71,2,sunny,Fri,0,10,118.15257755114284,intermediate,17
2142,00:12,410.71,47.92,7,rain,Wed,0,8,30.11110380239811,standard,28
1626,17:38,200.12,56.33,2,sunny,Thu,0,3,65.19244404685617,intermediate,7
789,04:07,630.5,117.24,2,sunny,Mon,0,10,121.90804072501638,standard,11
3786,08:11,518.91,106.24,4,sunny,Sat,0,5,65.7566380261831,standard,16
1864,23:15,666.99,46.72,9,sunny,Fri,0,10,174.29624243712345,standard,37
2865,13:21,593.65,93.6,7,rain,Tue,0,11,132.65518341953003,standard,32
871,13:44,747.5,49.92,5,sunny,Sun,1,6,162.84581909420368,intermediate,39
3271,19:07,453.74,57.38,6,sunny,Thu,1,9,157.1956589887956,standard,19
3833,06:13,697.27,77.47,1,rain,Wed,0,11,56.657600185690704,standard,20
73,01:12,203.73,77.64,7,rain,Mon,0,8,143.7684519493344,intermediate,17
1752,14:17,293.33,70.09,8,sunny,Sat,0,7,45.64293432687203,standard,19
1421,21:13,150.65,113.06,6,rain,Tue,0,9,79.16370121042664,premium,6
4221,01:01,406.64,77.89,1,sunny,Sat,0,10,63.50552044353956,intermediate,12
4693,16:41,779.39,40.02,0,sunny,Thu,0,6,65.28609093275209,standard,17
4369,15:16,714.78,51.97,2,sunny,Thu,0,10,117.06596485222741,premium,20
4575,11:53,460.8,50.36,3,sunny,Thu,0,10,198.50379277810256,intermediate,20
3809,05:38,357.01,76.16,2,rain,Thu,0,8,122.47108717431247,intermediate,5
2244,03:15,60.46,116.7,1,rain,Sat,1,12,131.84486049946838,standard,15
3047,00:59,72.87,103.9,8,sunny,Tue,0,14,121.30062094748693,intermediate,14
2445,11:36,377.58,82.39,1,snow,Wed,0,6,66.91004674545799,intermediate,24
494,04:41,224.68,90.22,7,sunny,Wed,0,11,92.91514101009321,intermediate,16
3130,01:57,422.87,109.83,3,sunny,Mon,0,5,104.67207553601507,standard,7
4321,07:05,156.55,61.81,4,sunny,Fri,1,7,43.36053811389636,premium,23
4397,20:58,363.7,78.63,0,sunny,Sat,0,8,127.08284364203347,premium,0
1164,04:53,741.67,97.13,9,sunny,Tue,0,5,86.16884218142826,standard,20
3734,19:17,252.12,101.75,2,sunny,Thu,0,10,156.43460944291908,standard,1
1730,08:42,566.09,50.97,0,sunny,Wed,0,7,122.96194588658312,standard,12
4812,05:04,241.57,50.21,5,rain,Sun,0,12,88.28839813249235,intermediate,28
2402,22:55,58.64,95.2,9,rain,Sun,0,12,43.451015675850236,standard,24
3403,07:36,761.81,70.45,3,sunny,Thu,0,14,146.95313922913547,standard,25
618,12:48,387.35,72.05,9,rain,Sat,0,10,154.72872051211831,standard,18
1697,04:46,369.42,96.95,6,sunny,Tue,0,10,118.23213551071558,premium,10
3593,23:06,787.02,82.87,9,sunny,Fri,0,3,167.92426149647753,intermediate,26
1957,18:59,598.78,53.47,0,rain,Sat,0,10,163.5954410172621,premium,14
1221,10:35,139.82,108.45,4,fog,Tue,0,8,22.20204310800792,premium,18
2073,13:22,449.23,112.54,8,rain,Tue,0,11,154.2200306880887,standard,22
3410,16:53,191.65,111.78,2,rain,Mon,0,8,53.303049792882504,premium,0
869,01:47,395.44,93.97,7,rain,Tue,0,9,169.26071246053277,intermediate,19
2718,07:20,493.07,109.69,3,sunny,Tue,1,5,89.53566214077262,intermediate,19
1042,10:00,633.89,91.74,9,rain,Sun,0,8,164.71895440589142,premium,27
1361,21:40,790.33,80.06,9,snow,Fri,0,6,81.87165518739124,premium,40
356,20:31,670.71,77.36,8,rain,Fri,0,13,32.98620324194404,standard,38
1162,04:35,628.42,73.07,1,sunny,Sat,0,5,119.08181961763896,intermediate,12
2765,21:46,421.86,96.73,8,sunny,Wed,0,10,108.52619491472107,standard,14
3252,02:30,335.83,68.65,2,sunny,Tue,0,14,69.34471645571358,standard,4
1438,01:15,242.82,63.11,6,snow,Tue,0,9,179.2633165479511,standard,29
3603,18:09,339.83,77.15,3,snow,Wed,0,7,121.98696864287486,intermediate,22
4940,13:04,442.75,103.31,5,sunny,Sun,0,8,66.84788925676284,standard,16
4593,03:25,342.16,109.73,9,sunny,Wed,0,6,82.6116377483223,standard,17
3639,02:35,470.18,107.33,9,sunny,Sun,0,9,192.36721086740312,intermediate,11
1253,17:30,372.63,66.38,7,sunny,Tue,0,9,23.27431390888797,intermediate,21
3365,07:31,734.36,105.16,1,snow,Thu,0,3,112.90437849168592,intermediate,29
332,00:38,476.92,87.81,7,rain,Tue,0,4,31.954108690712285,intermediate,22
3694,23:44,424.14,50.74,4,sunny,Sat,1,13,47.0568924421395,premium,27
3568,19:52,643.25,47.18,1,snow,Sun,0,4,172.2958593921384,premium,26
2728,16:00,125.77,57.03,3,snow,Sun,0,9,108.08647854838117,intermediate,21
3667,21:19,337.33,116.34,8,rain,Sat,0,9,69.44130695087253,standard,14
1630,02:25,160.59,54.39,7,sunny,Wed,0,14,71.79504222901726,standard,34
1116,05:50,519.69,88.64,0,sunny,Wed,1,13,140.06954058860802,premium,20
1849,20:48,679.41,97.02,7,sunny,Wed,0,6,68.41881319428376,standard,25
3554,03:54,302.93,66.82,1,sunny,Sun,0,5,194.02695665116113,standard,5
3153,08:16,255.44,114.58,2,rain,Mon,0,14,172.01858285968228,intermediate,9
3265,03:50,508.21,45.58,8,sunny,Sun,0,10,193.58229446890317,intermediate,30
1665,12:27,610.42,91.17,9,rain,Wed,0,11,77.30487436600643,intermediate,30
445,11:24,453.59,50.67,9,sunny,Wed,0,10,197.49199850118302,intermediate,26
2245,20:14,542.84,41.72,5,sunny,Sun,0,9,137.45574311903414,intermediate,26
452,15:27,776.71,74.65,1,sunny,Wed,0,5,162.07072076937843,standard,6
1551,19:19,161.08,48.78,9,fog,Sat,0,10,57.58510878719665,standard,32
4434,00:00,394.37,78.17,3,sunny,Wed,0,13,67.77119456425865,standard,14
2954,23:52,465.74,55.62,8,sunny,Fri,0,6,23.98747389480194,premium,23
14,07:37,226.76,115.62,5,sunny,Sun,0,12,138.70124957458094,intermediate,13
3628,04:08,200.46,83.7,9,sunny,Tue,0,8,136.45687136307478,standard,13
945,19:36,681.92,110.22,0,rain,Sat,0,11,174.26983744513916,intermediate,15
247,08:29,277.3,114.61,6,sunny,Mon,0,9,25.35618915518871,standard,0
4697,06:40,58.37,68.94,3,rain,Tue,0,5,58.559087387536856,standard,8
360,17:39,447.54,100.44,9,sunny,Thu,0,4,51.80528159751168,intermediate,22
4656,19:20,510.62,86.93,7,rain,Thu,0,4,123.63211235967616,intermediate,20
1614,04:27,82.89,57.23,4,sunny,Fri,0,13,28.106389515173362,premium,19
2303,07:54,98.75,92.73,3,sunny,Thu,0,9,186.1718427999207,standard,0
4141,05:57,405.74,75.95,6,rain,Wed,0,10,117.47132954127979,standard,20
3168,22:52,660.66,90.19,0,sunny,Wed,1,3,150.16451996585218,premium,12
2478,14:49,287.08,96.72,7,sunny,Sat,0,12,122.5580143189693,standard,18
4214,04:30,485.46,76.63,1,sunny,Thu,0,14,174.6200509298067,standard,19
4180,17:30,179.07,81.75,9,rain,Tue,0,10,74.54296222599375,intermediate,23
4884,20:41,358.84,50.45,0,rain,Sat,0,5,141.368364130577,intermediate,6
3163,20:01,576.57,84.95,2,sunny,Sun,0,4,178.01483216893206,intermediate,5
490,09:21,637.14,87.86,5,sunny,Tue,0,3,146.85910026391954,intermediate,14
862,20:16,399.12,40.01,1,sunny,Wed,0,4,84.0587641306327,intermediate,4
1740,16:07,115.79,89.64,2,sunny,Fri,0,14,28.109235469829162,standard,0
4099,06:52,65.38,85.52,7,rain,Thu,0,6,32.61652007604798,premium,16
4385,09:34,251.95,98.71,2,sunny,Mon,0,13,40.68728147786369,premium,12
2447,19:58,271.2,58.8,6,sunny,Sat,0,9,179.29154949515063,standard,24
4230,12:24,239.68,81.36,5,sunny,Sun,0,11,27.360862868374646,intermediate,5
506,17:12,676.43,107.07,7,sunny,Fri,0,10,163.90053041653545,premium,23
2677,19:19,403.38,58.12,7,rain,Sun,0,8,125.02685480771028,premium,23
2995,05:27,127.83,115.54,3,rain,Tue,0,13,65.01218831806324,standard,14
1942,22:36,401.35,55.96,2,rain,Sat,0,6,81.15188696210524,intermediate,10
1222,21:08,448.95,114.18,0,sunny,Thu,0,7,69.74192133119854,intermediate,1
1113,09:10,414.83,49.12,1,sunny,Sun,1,5,140.83372649363193,intermediate,14
1905,05:37,690.01,75.24,7,rain,Thu,0,12,61.11098085541736,premium,35
3423,16:44,406.93,67.9,3,sunny,Fri,0,13,196.1193495094895,premium,16
1877,17:21,243.27,110.98,4,rain,Tue,1,3,189.17071062634656,standard,22
4672,15:56,194.76,46.66,5,sunny,Fri,0,10,55.07350743347084,standard,6
433,12:18,729.99,118.88,3,rain,Thu,1,7,152.65380909682898,standard,24
2364,13:15,418.64,64.69,5,sunny,Fri,0,6,187.99270266398983,premium,15
3154,11:09,199.9,110.1,0,sunny,Wed,1,10,179.60908801063724,premium,5
2835,22:59,210.7,45.78,5,sunny,Thu,0,7,38.693175397782994,standard,14
2092,20:20,547.52,74.92,5,snow,Wed,0,5,27.15564318212731,standard,21
3010,04:56,582.66,105.18,3,sunny,Mon,0,10,20.286348772839265,standard,7
3162,20:08,557.11,67.77,5,rain,Sat,0,6,156.1432051097977,standard,17
2945,04:25,493.94,117.12,5,sunny,Wed,0,3,45.04864946097749,standard,1
3916,16:12,557.85,107.11,3,sunny,Sun,0,9,25.703992917437542,premium,8
2916,06:36,720.15,101.07,2,rain,Mon,0,14,97.03682475054497,premium,17
1102,03:44,709.6,117.92,5,sunny,Fri,0,8,172.30641784309924,premium,22
1448,06:13,300.61,88.43,2,rain,Sat,0,4,147.54111757147672,intermediate,4
1720,07:51,172.95,86.62,2,rain,Thu,0,8,39.93131198711286,intermediate,16
4518,21:08,409.28,87.71,7,sunny,Tue,0,10,160.11976039279796,standard,9
3842,18:01,654.51,95.22,1,sunny,Sun,0,9,186.3628098357518,standard,4
156,03:50,178.11,118.16,5,sunny,Tue,0,9,198.20144121624165,standard,4
2978,09:45,748.96,100.03,9,rain,Thu,0,12,176.79677614439439,intermediate,34
1773,12:29,595.35,73.09,6,sunny,Mon,0,9,79.92190222364043,intermediate,20
615,05:53,730.15,89.1,7,sunny,Sat,0,8,95.70597461342608,standard,30
643,06:51,720.13,102.54,5,sunny,Thu,0,13,99.53608228429647,standard,15
1935,18:06,552.01,117.86,2,sunny,Fri,0,12,166.13796054015808,standard,2
4277,08:30,84.11,90.04,6,rain,Sat,0,13,190.2433878903354,intermediate,26
1068,06:46,114.35,83.94,1,sunny,Thu,0,8,70.21549168264497,premium,0
4454,18:17,376.58,46.6,2,snow,Mon,0,10,179.66462742112742,standard,27
4154,10:46,98.63,97.15,3,sunny,Wed,0,11,169.49760570262305,intermediate,9
4239,00:07,561.14,93.52,9,sunny,Fri,0,9,130.50593352803057,premium,29
4868,16:24,109.92,114.71,2,sunny,Tue,0,5,97.54929149860574,standard,0
330,01:59,438.65,40.35,5,snow,Thu,0,9,54.58962528671333,standard,37
2057,04:58,327.3,107.15,5,sunny,Tue,0,8,174.88105370774792,intermediate,13
2646,10:08,183.11,62.79,6,snow,Fri,0,5,174.4738064678551,intermediate,29
2191,18:33,61.88,55.18,2,rain,Tue,0,14,95.01572986879013,standard,7
622,17:23,721.06,98.18,7,sunny,Tue,0,6,76.49847430226463,premium,17
1595,06:14,290.4,46.54,3,sunny,Fri,1,10,194.28260347453536,intermediate,18
2915,10:19,116.0,94.33,4,sunny,Thu,0,4,150.05432350421412,premium,0
4821,18:27,701.47,65.85,9,sunny,Sun,0,6,194.69532813232686,intermediate,25
3898,18:13,375.45,81.04,9,rain,Sat,0,13,194.55249481173726,standard,36
1919,15:02,322.64,62.61,0,sunny,Sat,0,12,119.21549383852776,intermediate,7
4173,04:09,220.18,59.88,5,rain,Sun,0,12,72.18972503550813,intermediate,24
4477,22:01,273.53,44.65,2,snow,Sat,0,7,78.04138774251884,standard,21
755,02:57,602.6,50.19,9,sunny,Sun,0,8,194.72046071536317,standard,26
518,09:58,505.23,96.65,4,sunny,Sun,0,14,152.3256563624823,intermediate,20
3803,13:45,420.49,71.48,5,sunny,Fri,0,4,84.36455636520539,standard,12
32,14:52,345.64,104.18,8,sunny,Wed,0,5,191.82884650045958,standard,2
2937,13:26,506.9,91.73,0,sunny,Wed,1,10,100.10739351035573,premium,16
1157,11:20,207.9,78.78,1,sunny,Sat,0,8,39.69105888332348,intermediate,3
744,08:24,729.32,90.72,2,rain,Thu,0,13,74.15809721495874,intermediate,21
1497,20:24,640.23,74.02,2,snow,Thu,0,10,139.9892199452972,standard,35
3459,15:24,134.18,46.44,8,fog,Sun,0,3,63.580383349874,premium,28
3755,21:50,453.14,61.21,0,sunny,Sun,0,5,139.23377342349968,standard,0
2591,05:40,794.87,66.09,2,sunny,Sat,0,3,66.31939283301843,standard,19
783,02:39,374.94,119.59,8,snow,Thu,0,9,35.9343637842409,premium,36
3493,08:25,517.83,71.53,4,snow,Tue,1,6,64.61953651713124,premium,40
2949,06:45,137.33,56.34,7,rain,Sat,0,11,76.23534929990947,standard,28
229,05:36,397.86,84.3,7,sunny,Wed,0,11,102.78546870137812,premium,9
857,20:44,626.57,90.79,3,snow,Fri,1,5,197.78245009523002,standard,31
2266,03:02,63.47,72.36,2,sunny,Mon,0,12,110.4136600443513,premium,0
4274,01:27,783.7,102.85,9,sunny,Tue,0,5,108.43245605814033,premium,27
408,16:08,493.1,78.02,4,rain,Fri,0,12,191.32334198684092,standard,23
170,22:10,532.1,52.28,2,sunny,Mon,0,4,92.40515989703711,intermediate,15
540,10:45,292.64,60.3,7,sunny,Wed,0,5,153.91755738204225,premium,12
2210,15:17,388.9,74.59,5,sunny,Fri,1,9,168.84649746831258,intermediate,25
