FightID,weapon_jedai,armour_jedai,weapon_calmtrooper,armour_calmtrooper,injuries,number_of_fights,force_level,accuracy_calmtrooper,fight_planet,weather_conditions,surprise_attack,moral_jedai,moral_calmtrooper,winner
2347,Single Lightsaber,47.0%,Standard Blaster,82.0%,Both,98.9,17.6,66.7,Eldor,Sandstorm,FALSE,29.3,82.2,0
6499,Ancient Jedai Blade,72.1%,Heavy Blaster,69.5%,Both,147.1,57.5,90.5,Kamira,Sandstorm,TRUE,65.7,58.6,0
1468,Single Lightsaber,46.8%,Standard Blaster,75.9%,Jedai,65.5,25.6,92.0,Mustran,Clear,FALSE,32.9,69.9,0
1700,Single Lightsaber,50.1%,Standard Blaster,75.2%,Jedai,101.4,33.3,51.7,Nabira,Clear,FALSE,23.9,72.6,0
6866,Ancient Jedai Blade,68.0%,Heavy Blaster,68.0%,Calmtrooper,3.9,65.1,59.3,Eldor,Snow,TRUE,55.0,65.5,0
5943,Double Lightsaber,87.0%,Experimental Weapon,41.2%,Calmtrooper,166.3,78.9,61.3,Eldor,Snow,TRUE,62.2,24.1,1
2022,Single Lightsaber,49.1%,Standard Blaster,77.6%,Jedai,203.9,35.0,59.4,Nabira,Storm,FALSE,34.7,54.8,0
8339,Ancient Jedai Blade,62.8%,Heavy Blaster,63.3%,Both,76.4,54.7,35.9,Eldor,Storm,FALSE,67.3,55.7,1
6313,Ancient Jedai Blade,75.3%,Heavy Blaster,58.3%,Jedai,106.9,53.6,49.3,Corsavant,Snow,FALSE,66.5,52.6,1
1267,Single Lightsaber,54.4%,Standard Blaster,78.4%,Both,226.1,20.8,81.4,Nabira,Sandstorm,FALSE,42.4,64.1,0
2970,Single Lightsaber,58.7%,Standard Blaster,75.3%,Jedai,88.0,18.1,82.8,Mustran,Sandstorm,TRUE,29.0,79.2,0
2937,Single Lightsaber,49.9%,Standard Blaster,90.9%,Jedai,245.3,38.2,32.7,Kamira,Clear,FALSE,38.6,66.4,0
774,Single Lightsaber,49.1%,Standard Blaster,87.4%,Both,167.7,38.7,40.4,Kamira,Clear,FALSE,51.2,62.7,0
8807,Ancient Jedai Blade,63.5%,Heavy Blaster,62.9%,Jedai,156.7,56.1,46.0,Kamira,Storm,FALSE,46.0,56.5,1
7108,Ancient Jedai Blade,69.7%,Heavy Blaster,61.9%,Calmtrooper,124.3,56.3,77.1,Eldor,Snow,TRUE,61.6,60.5,0
7251,Ancient Jedai Blade,79.8%,Heavy Blaster,64.9%,Both,221.1,49.0,91.4,Hroth,Clear,TRUE,53.5,64.6,0
2639,Single Lightsaber,46.9%,Standard Blaster,83.8%,Both,165.9,34.2,52.7,Tavooine,Storm,TRUE,42.2,70.2,0
3098,Double Lightsaber,93.4%,Experimental Weapon,37.5%,Calmtrooper,144.5,71.1,80.5,Hroth,Storm,FALSE,83.7,43.4,1
3416,Double Lightsaber,85.2%,Experimental Weapon,41.1%,Calmtrooper,227.2,83.5,48.7,Nabira,Sandstorm,TRUE,52.0,29.3,1
2707,Single Lightsaber,52.7%,Standard Blaster,82.8%,Jedai,218.7,21.9,68.6,Corsavant,Storm,FALSE,35.9,65.7,0
873,Single Lightsaber,47.9%,Standard Blaster,85.9%,Both,23.5,29.1,72.9,Corsavant,Snow,TRUE,39.0,80.8,0
7761,Ancient Jedai Blade,56.0%,Heavy Blaster,59.1%,Jedai,103.7,49.7,63.8,Nabira,Sandstorm,FALSE,60.8,68.9,0
693,Single Lightsaber,53.5%,Standard Blaster,76.0%,Jedai,34.8,31.9,31.4,Hroth,Sandstorm,TRUE,34.7,65.9,0
2696,Single Lightsaber,53.4%,Standard Blaster,75.1%,Jedai,216.0,23.0,52.6,Mustran,Sandstorm,TRUE,57.9,55.7,0
7470,Ancient Jedai Blade,61.8%,Heavy Blaster,72.6%,Both,234.3,44.0,49.6,Nabira,Sandstorm,FALSE,49.0,50.7,0
135,Single Lightsaber,54.2%,Standard Blaster,80.4%,Jedai,95.2,31.9,87.1,Tavooine,Storm,FALSE,64.9,69.9,0
7199,Ancient Jedai Blade,69.0%,Heavy Blaster,62.1%,Calmtrooper,53.4,59.4,78.4,Kamira,Sandstorm,TRUE,59.4,45.4,1
3267,Double Lightsaber,89.2%,Experimental Weapon,37.2%,Calmtrooper,34.0,79.6,80.3,Kamira,Snow,TRUE,89.5,33.8,1
8833,Ancient Jedai Blade,65.0%,Heavy Blaster,64.0%,Both,145.4,49.5,51.1,Tavooine,Snow,TRUE,49.2,76.4,0
1262,Single Lightsaber,47.3%,Standard Blaster,83.9%,Jedai,157.5,27.7,78.2,Corsavant,Clear,FALSE,51.3,78.5,0
7160,Ancient Jedai Blade,60.7%,Heavy Blaster,62.4%,Jedai,148.1,44.2,74.3,Mustran,Snow,FALSE,68.3,56.4,0
5522,Double Lightsaber,78.3%,Experimental Weapon,46.2%,Calmtrooper,208.2,81.4,39.7,Nabira,Storm,TRUE,75.3,37.9,1
2798,Single Lightsaber,49.9%,Standard Blaster,70.3%,Jedai,2.2,23.1,73.4,Nabira,Storm,FALSE,52.1,59.0,0
1486,Single Lightsaber,48.3%,Standard Blaster,87.3%,Both,56.4,23.7,45.6,Hroth,Storm,TRUE,52.0,63.9,0
5752,Double Lightsaber,67.9%,Experimental Weapon,49.3%,Calmtrooper,66.1,78.4,64.2,Mustran,Snow,FALSE,84.0,45.2,1
475,Single Lightsaber,54.3%,Standard Blaster,81.7%,Both,38.6,34.4,70.7,Mustran,Storm,FALSE,37.5,75.9,0
6007,Ancient Jedai Blade,67.4%,Heavy Blaster,64.9%,Both,41.1,55.4,69.4,Corsavant,Clear,TRUE,67.9,49.3,1
6510,Ancient Jedai Blade,52.1%,Heavy Blaster,65.4%,Calmtrooper,22.0,55.9,57.9,Nabira,Sandstorm,TRUE,61.7,60.4,0
2084,Single Lightsaber,56.8%,Standard Blaster,72.0%,Jedai,244.9,30.5,50.1,Mustran,Storm,FALSE,62.4,56.5,0
1803,Single Lightsaber,46.5%,Standard Blaster,80.2%,Jedai,163.3,32.0,41.1,Nabira,Sandstorm,FALSE,33.5,67.9,0
1581,Single Lightsaber,53.1%,Standard Blaster,79.5%,Jedai,116.0,22.1,46.0,Mustran,Storm,FALSE,34.1,64.4,0
6568,Ancient Jedai Blade,59.3%,Heavy Blaster,65.0%,Jedai,139.4,51.0,55.4,Hroth,Snow,FALSE,78.5,66.8,0
958,Single Lightsaber,50.5%,Standard Blaster,75.8%,Jedai,99.8,27.7,63.0,Eldor,Storm,TRUE,36.9,81.4,0
764,Single Lightsaber,52.0%,Standard Blaster,78.4%,Jedai,219.1,32.9,43.1,Mustran,Clear,FALSE,44.0,79.3,0
392,Single Lightsaber,57.9%,Standard Blaster,88.2%,Both,48.6,30.4,59.1,Mustran,Storm,FALSE,64.9,66.6,0
2185,Single Lightsaber,48.7%,Standard Blaster,75.2%,Jedai,127.8,30.2,89.5,Hroth,Clear,FALSE,39.0,68.5,0
565,Single Lightsaber,49.6%,Standard Blaster,74.5%,Jedai,73.2,26.7,54.4,Kamira,Snow,FALSE,47.5,80.0,0
2399,Single Lightsaber,53.6%,Standard Blaster,82.8%,Jedai,234.6,19.9,32.6,Mustran,Storm,FALSE,24.4,81.6,0
4267,Double Lightsaber,77.6%,Experimental Weapon,46.3%,Calmtrooper,173.1,82.5,35.9,Mustran,Snow,FALSE,85.9,37.6,1
7568,Ancient Jedai Blade,67.2%,Heavy Blaster,61.4%,Jedai,114.2,55.2,72.8,Hroth,Storm,TRUE,47.3,95.9,0
6993,Ancient Jedai Blade,62.3%,Heavy Blaster,66.3%,Jedai,129.4,45.9,83.2,Hroth,Sandstorm,TRUE,43.5,70.7,0
630,Single Lightsaber,53.9%,Standard Blaster,80.2%,Both,232.7,26.2,30.3,Tavooine,Sandstorm,TRUE,39.1,68.6,0
7041,Ancient Jedai Blade,71.7%,Heavy Blaster,58.6%,Jedai,150.4,48.9,42.9,Hroth,Snow,FALSE,66.2,69.9,1
536,Single Lightsaber,48.3%,Standard Blaster,81.3%,Jedai,145.4,32.2,64.7,Kamira,Snow,FALSE,46.2,64.1,0
5107,Double Lightsaber,82.9%,Experimental Weapon,40.0%,Calmtrooper,169.9,79.9,83.3,Kamira,Sandstorm,FALSE,70.5,33.6,1
7539,Ancient Jedai Blade,72.0%,Heavy Blaster,64.9%,Both,150.4,59.0,83.2,Mustran,Sandstorm,TRUE,59.9,72.0,0
3926,Double Lightsaber,85.9%,Experimental Weapon,34.9%,Calmtrooper,242.9,80.5,91.7,Hroth,Snow,TRUE,81.8,43.3,1
2388,Single Lightsaber,55.8%,Standard Blaster,74.0%,Jedai,136.2,26.2,51.2,Kamira,Sandstorm,FALSE,34.8,70.9,0
7138,Ancient Jedai Blade,66.2%,Heavy Blaster,65.1%,Jedai,126.8,57.3,90.7,Corsavant,Storm,TRUE,58.0,44.1,0
5312,Double Lightsaber,80.2%,Experimental Weapon,44.2%,Calmtrooper,193.0,81.8,60.4,Nabira,Snow,FALSE,59.8,27.4,1
7002,Ancient Jedai Blade,70.6%,Heavy Blaster,63.8%,Jedai,16.7,45.8,90.0,Nabira,Snow,FALSE,63.1,80.0,0
7406,Ancient Jedai Blade,60.9%,Heavy Blaster,64.2%,Jedai,70.5,53.0,58.4,Mustran,Snow,FALSE,52.9,53.4,0
7739,Ancient Jedai Blade,70.5%,Heavy Blaster,62.2%,Calmtrooper,186.3,55.3,71.4,Tavooine,Sandstorm,FALSE,66.4,60.2,0
5162,Double Lightsaber,82.4%,Experimental Weapon,43.7%,Calmtrooper,188.6,78.0,34.4,Nabira,Storm,TRUE,100.0,33.9,1
7774,Ancient Jedai Blade,63.7%,Heavy Blaster,66.7%,Calmtrooper,204.8,52.4,36.8,Corsavant,Clear,FALSE,88.8,63.4,1
2377,Single Lightsaber,49.9%,Standard Blaster,85.9%,Jedai,89.4,25.8,60.2,Kamira,Sandstorm,TRUE,26.0,70.2,0
3794,Double Lightsaber,75.3%,Experimental Weapon,38.9%,Calmtrooper,217.6,79.1,90.9,Hroth,Snow,FALSE,69.9,18.8,1
6765,Ancient Jedai Blade,64.3%,Heavy Blaster,62.2%,Both,169.1,51.9,33.0,Corsavant,Sandstorm,FALSE,60.8,82.2,0
6366,Ancient Jedai Blade,63.7%,Heavy Blaster,69.0%,Both,192.8,57.5,32.6,Mustran,Snow,TRUE,73.8,55.0,1
5128,Double Lightsaber,84.9%,Experimental Weapon,32.1%,Calmtrooper,163.0,85.7,40.4,Hroth,Storm,TRUE,64.0,35.2,1
4746,Double Lightsaber,81.7%,Experimental Weapon,35.6%,Calmtrooper,234.8,79.4,72.5,Corsavant,Snow,TRUE,89.9,46.3,1
8459,Ancient Jedai Blade,60.9%,Heavy Blaster,61.3%,Jedai,150.2,57.8,74.9,Corsavant,Snow,FALSE,51.3,64.3,0
6435,Ancient Jedai Blade,61.0%,Heavy Blaster,62.7%,Jedai,198.0,52.7,70.3,Nabira,Snow,FALSE,77.0,52.8,0
5759,Double Lightsaber,86.0%,Experimental Weapon,40.1%,Both,238.8,82.6,89.1,Mustran,Sandstorm,TRUE,66.3,34.4,1
5696,Double Lightsaber,88.0%,Experimental Weapon,40.9%,Both,66.0,90.5,65.4,Tavooine,Snow,TRUE,82.3,20.9,1
6352,Ancient Jedai Blade,70.4%,Heavy Blaster,75.5%,Jedai,121.9,51.6,51.9,Tavooine,Storm,TRUE,66.2,57.4,0
289,Single Lightsaber,52.9%,Standard Blaster,76.0%,Both,199.9,40.5,38.0,Corsavant,Sandstorm,TRUE,36.1,88.4,0
1808,Single Lightsaber,54.2%,Standard Blaster,87.0%,Jedai,1.0,28.7,42.8,Nabira,Snow,FALSE,22.2,71.4,0
4043,Double Lightsaber,88.8%,Experimental Weapon,40.6%,Calmtrooper,173.7,76.6,88.0,Nabira,Sandstorm,TRUE,74.5,15.8,1
6591,Ancient Jedai Blade,63.5%,Heavy Blaster,67.2%,Both,202.8,53.9,87.0,Eldor,Sandstorm,FALSE,63.4,55.1,0
4047,Double Lightsaber,87.2%,Experimental Weapon,34.8%,Calmtrooper,78.3,78.4,73.4,Tavooine,Clear,TRUE,75.9,16.4,1
8810,Ancient Jedai Blade,71.8%,Heavy Blaster,63.5%,Jedai,138.4,48.5,86.4,Eldor,Snow,TRUE,71.2,81.2,0
1721,Single Lightsaber,41.6%,Standard Blaster,81.4%,Jedai,40.5,28.1,64.8,Corsavant,Storm,TRUE,41.6,87.3,0
4533,Double Lightsaber,92.6%,Experimental Weapon,40.6%,Calmtrooper,145.1,84.3,39.8,Eldor,Storm,TRUE,97.1,29.8,1
4256,Double Lightsaber,89.0%,Experimental Weapon,37.7%,Calmtrooper,124.5,71.6,42.3,Corsavant,Sandstorm,FALSE,81.7,17.3,1
3126,Double Lightsaber,83.2%,Experimental Weapon,40.5%,Calmtrooper,144.7,79.9,30.5,Tavooine,Sandstorm,FALSE,68.4,12.9,1
7223,Ancient Jedai Blade,76.1%,Heavy Blaster,65.2%,Calmtrooper,157.3,54.9,57.4,Tavooine,Storm,TRUE,52.9,56.8,1
1972,Single Lightsaber,47.9%,Standard Blaster,82.6%,Jedai,207.7,25.9,40.8,Kamira,Sandstorm,TRUE,32.5,69.2,0
8196,Ancient Jedai Blade,70.7%,Heavy Blaster,63.5%,Jedai,217.6,60.0,46.0,Mustran,Snow,FALSE,64.7,53.7,1
3056,Double Lightsaber,89.0%,Experimental Weapon,38.3%,Both,56.1,79.7,94.8,Nabira,Sandstorm,TRUE,65.2,40.5,1
8988,Ancient Jedai Blade,67.4%,Heavy Blaster,70.4%,Calmtrooper,128.3,62.8,46.0,Corsavant,Snow,FALSE,55.4,57.0,1
5649,Double Lightsaber,79.9%,Experimental Weapon,34.7%,Calmtrooper,202.3,82.7,48.1,Nabira,Storm,TRUE,90.9,16.8,1
358,Single Lightsaber,47.5%,Standard Blaster,75.2%,Jedai,13.9,35.5,51.5,Corsavant,Clear,FALSE,49.2,67.4,0
8527,Ancient Jedai Blade,70.4%,Heavy Blaster,66.8%,Both,123.4,52.4,58.2,Hroth,Snow,TRUE,72.1,58.2,1
3262,Double Lightsaber,87.0%,Experimental Weapon,36.8%,Calmtrooper,88.2,78.1,77.6,Mustran,Storm,FALSE,74.6,39.1,1
3231,Double Lightsaber,82.9%,Experimental Weapon,41.6%,Both,200.6,76.1,37.2,Nabira,Sandstorm,TRUE,79.9,27.3,1
3743,Double Lightsaber,78.5%,Experimental Weapon,30.0%,Calmtrooper,232.5,75.5,42.5,Mustran,Storm,TRUE,79.4,37.1,1
6387,Ancient Jedai Blade,69.1%,Heavy Blaster,66.6%,Both,71.9,46.2,49.9,Kamira,Sandstorm,TRUE,59.6,51.6,0
6767,Ancient Jedai Blade,59.3%,Heavy Blaster,61.5%,Calmtrooper,94.8,45.6,63.8,Eldor,Storm,TRUE,65.5,51.0,0
8813,Ancient Jedai Blade,61.7%,Heavy Blaster,61.3%,Both,169.3,49.8,30.6,Mustran,Storm,TRUE,77.5,52.5,1
8624,Ancient Jedai Blade,58.9%,Heavy Blaster,64.8%,Jedai,212.5,48.2,91.8,Mustran,Storm,TRUE,60.1,66.7,0
369,Single Lightsaber,53.7%,Standard Blaster,83.0%,Jedai,3.7,28.1,53.4,Corsavant,Snow,FALSE,44.0,79.2,0
418,Single Lightsaber,52.0%,Standard Blaster,76.3%,Jedai,170.8,33.5,90.6,Mustran,Sandstorm,TRUE,68.1,69.0,0
2238,Single Lightsaber,47.1%,Standard Blaster,84.7%,Jedai,47.0,28.0,37.3,Eldor,Snow,TRUE,48.1,67.2,0
7617,Ancient Jedai Blade,69.1%,Heavy Blaster,68.1%,Jedai,74.1,56.2,46.6,Corsavant,Snow,TRUE,50.3,62.2,0
5193,Double Lightsaber,82.9%,Experimental Weapon,37.4%,Calmtrooper,172.1,87.8,32.1,Eldor,Sandstorm,TRUE,87.7,26.3,1
8031,Ancient Jedai Blade,63.6%,Heavy Blaster,65.9%,Calmtrooper,247.2,49.3,41.9,Corsavant,Clear,TRUE,70.6,62.3,1
4588,Double Lightsaber,91.1%,Experimental Weapon,35.5%,Calmtrooper,201.1,62.1,81.1,Hroth,Sandstorm,TRUE,85.0,39.4,1
1841,Single Lightsaber,52.6%,Standard Blaster,75.3%,Jedai,83.9,29.4,75.4,Corsavant,Snow,FALSE,31.8,90.2,0
3387,Double Lightsaber,82.8%,Experimental Weapon,43.5%,Calmtrooper,41.0,80.6,44.0,Hroth,Snow,TRUE,74.0,22.9,1
1238,Single Lightsaber,52.7%,Standard Blaster,84.5%,Both,140.7,30.0,66.4,Kamira,Clear,FALSE,41.1,75.4,0
5933,Double Lightsaber,75.1%,Experimental Weapon,41.8%,Calmtrooper,117.7,83.5,30.6,Corsavant,Snow,FALSE,75.2,19.2,1
5796,Double Lightsaber,93.2%,Experimental Weapon,33.3%,Calmtrooper,65.9,75.3,48.8,Hroth,Snow,FALSE,69.9,42.5,1
7013,Ancient Jedai Blade,71.0%,Heavy Blaster,71.6%,Both,202.4,51.0,86.1,Hroth,Storm,TRUE,52.7,61.5,0
7351,Ancient Jedai Blade,61.9%,Heavy Blaster,64.6%,Both,108.9,58.5,81.8,Eldor,Snow,FALSE,64.5,64.0,0
5459,Double Lightsaber,83.6%,Experimental Weapon,33.6%,Calmtrooper,136.7,80.8,74.9,Mustran,Sandstorm,FALSE,72.0,56.5,1
3841,Double Lightsaber,81.1%,Experimental Weapon,39.9%,Calmtrooper,119.5,79.9,71.9,Kamira,Clear,TRUE,97.0,30.5,1
4354,Double Lightsaber,79.6%,Experimental Weapon,38.4%,Calmtrooper,155.4,80.9,49.7,Corsavant,Clear,FALSE,73.0,31.0,1
7029,Ancient Jedai Blade,56.3%,Heavy Blaster,69.2%,Calmtrooper,128.6,59.8,88.2,Tavooine,Snow,FALSE,56.2,70.5,0
6625,Ancient Jedai Blade,72.2%,Heavy Blaster,60.2%,Jedai,136.8,53.2,72.0,Mustran,Sandstorm,TRUE,70.7,67.4,0
3746,Double Lightsaber,87.3%,Experimental Weapon,49.5%,Calmtrooper,144.7,79.2,81.0,Tavooine,Sandstorm,FALSE,86.6,32.1,1
93,Single Lightsaber,45.2%,Standard Blaster,81.6%,Jedai,47.3,26.8,87.3,Nabira,Storm,TRUE,35.3,65.4,0
8923,Ancient Jedai Blade,63.4%,Heavy Blaster,58.5%,Calmtrooper,23.6,55.7,33.4,Nabira,Snow,FALSE,59.2,40.9,1
7480,Ancient Jedai Blade,59.5%,Heavy Blaster,64.5%,Jedai,201.0,51.9,84.4,Kamira,Snow,FALSE,64.0,53.9,0
3637,Double Lightsaber,90.9%,Experimental Weapon,56.1%,Both,229.4,88.8,93.8,Mustran,Sandstorm,TRUE,76.0,14.7,1
8827,Ancient Jedai Blade,56.6%,Heavy Blaster,59.6%,Both,60.0,56.7,34.1,Eldor,Sandstorm,TRUE,49.7,50.6,1
798,Single Lightsaber,54.0%,Standard Blaster,82.8%,Jedai,133.3,29.1,63.4,Tavooine,Snow,FALSE,22.7,64.4,0
3865,Double Lightsaber,84.5%,Experimental Weapon,42.2%,Calmtrooper,79.2,76.5,37.8,Mustran,Clear,FALSE,90.4,39.8,1
3448,Double Lightsaber,79.4%,Experimental Weapon,47.5%,Both,91.4,77.0,94.2,Corsavant,Snow,TRUE,98.4,37.6,1
6693,Ancient Jedai Blade,68.3%,Heavy Blaster,70.4%,Both,224.0,52.9,34.6,Mustran,Storm,TRUE,55.1,61.1,1
3002,Double Lightsaber,94.7%,Experimental Weapon,37.3%,Both,145.1,76.3,77.2,Kamira,Sandstorm,FALSE,75.6,24.5,1
8146,Ancient Jedai Blade,67.8%,Heavy Blaster,58.8%,Jedai,199.0,58.1,71.9,Mustran,Clear,FALSE,51.4,66.1,0
5873,Double Lightsaber,79.9%,Experimental Weapon,42.3%,Calmtrooper,130.5,74.1,72.4,Eldor,Clear,FALSE,100.0,23.1,1
690,Single Lightsaber,42.3%,Standard Blaster,74.6%,Jedai,69.6,30.3,88.3,Kamira,Snow,TRUE,33.5,75.6,0
5258,Double Lightsaber,90.8%,Experimental Weapon,43.4%,Calmtrooper,240.1,86.2,57.4,Nabira,Storm,TRUE,99.3,22.4,1
5234,Double Lightsaber,85.6%,Experimental Weapon,42.2%,Calmtrooper,141.0,85.6,78.0,Eldor,Sandstorm,TRUE,73.3,49.6,1
5379,Double Lightsaber,91.3%,Experimental Weapon,30.0%,Both,178.0,78.6,53.7,Hroth,Storm,TRUE,72.8,12.4,1
5404,Double Lightsaber,99.7%,Experimental Weapon,42.9%,Both,40.3,70.2,59.8,Nabira,Sandstorm,FALSE,72.7,38.4,1
6671,Ancient Jedai Blade,60.4%,Heavy Blaster,52.4%,Jedai,175.0,50.3,62.7,Hroth,Snow,TRUE,55.7,56.0,0
2168,Single Lightsaber,56.0%,Standard Blaster,80.0%,Both,178.5,34.5,33.5,Nabira,Storm,TRUE,25.3,95.1,0
4962,Double Lightsaber,76.5%,Experimental Weapon,33.2%,Calmtrooper,102.8,89.5,59.9,Nabira,Snow,TRUE,80.8,37.6,1
3583,Double Lightsaber,76.8%,Experimental Weapon,39.0%,Calmtrooper,85.7,75.4,85.9,Tavooine,Snow,FALSE,80.5,26.7,1
2928,Single Lightsaber,49.1%,Standard Blaster,79.0%,Jedai,180.4,26.4,33.9,Tavooine,Sandstorm,FALSE,49.9,66.9,0
239,Single Lightsaber,51.1%,Standard Blaster,79.0%,Both,13.0,24.0,39.2,Tavooine,Storm,FALSE,38.2,67.3,0
1038,Single Lightsaber,50.8%,Standard Blaster,84.0%,Jedai,145.7,22.2,61.7,Eldor,Clear,TRUE,38.1,77.5,0
4379,Double Lightsaber,91.6%,Experimental Weapon,39.5%,Calmtrooper,37.8,80.1,77.2,Nabira,Storm,FALSE,83.7,10.0,1
3196,Double Lightsaber,80.3%,Experimental Weapon,37.7%,Calmtrooper,15.4,78.5,47.0,Nabira,Snow,TRUE,72.0,34.8,1
1024,Single Lightsaber,55.6%,Standard Blaster,78.5%,Both,225.2,38.6,38.5,Tavooine,Clear,TRUE,31.1,76.5,0
2118,Single Lightsaber,48.5%,Standard Blaster,80.9%,Jedai,169.6,36.9,44.9,Tavooine,Storm,FALSE,35.6,81.4,0
1955,Single Lightsaber,51.4%,Standard Blaster,84.8%,Jedai,68.8,24.6,83.3,Tavooine,Sandstorm,FALSE,46.6,70.2,0
447,Single Lightsaber,43.6%,Standard Blaster,77.7%,Jedai,6.8,39.0,59.2,Nabira,Storm,FALSE,41.5,71.8,0
6084,Ancient Jedai Blade,59.6%,Heavy Blaster,67.5%,Both,174.6,50.0,68.4,Eldor,Sandstorm,FALSE,56.0,31.6,1
1690,Single Lightsaber,50.2%,Standard Blaster,77.6%,Both,101.2,27.9,82.3,Eldor,Sandstorm,FALSE,24.0,60.8,0
4909,Double Lightsaber,90.3%,Experimental Weapon,41.0%,Calmtrooper,208.8,78.8,54.2,Hroth,Sandstorm,TRUE,82.6,34.0,1
719,Single Lightsaber,48.4%,Standard Blaster,86.5%,Jedai,177.3,28.7,68.1,Mustran,Snow,FALSE,36.8,81.1,0
2732,Single Lightsaber,50.8%,Standard Blaster,90.9%,Jedai,40.0,30.7,88.1,Mustran,Snow,TRUE,35.5,48.7,0
